全国,127768,128057,127095,126933,126706
北海道,5628,5506,5382,5352,5320
青森県,1437,1373,1308,1293,1278
岩手県,1385,1330,1280,1268,1255
宮城県,2360,2348,2334,2330,2323
秋田県,1146,1086,1023,1010,996
山形県,1216,1169,1124,1113,1102
福島県,2091,2029,1914,1901,1882
茨城県,2975,2970,2917,2905,2892
栃木県,2017,2008,1974,1966,1957
群馬県,2024,2008,1973,1967,1960
埼玉県,7054,7195,7267,7289,7310
千葉県,6056,6216,6223,6236,6246
東京都,12577,13159,13515,13624,13724
神奈川県,8792,9048,9126,9145,9159
新潟県,2431,2374,2304,2286,2267
富山県,1112,1093,1066,1061,1056
石川県,1174,1170,1154,1151,1147
福井県,822,806,787,782,779
山梨県,885,863,835,830,823
長野県,2196,2152,2099,2088,2076
岐阜県,2107,2081,2032,2022,2008
静岡県,3792,3765,3700,3688,3675
愛知県,7255,7411,7483,7507,7525
三重県,1867,1855,1816,1808,1800
滋賀県,1380,1411,1413,1413,1413
京都府,2648,2636,2610,2605,2599
大阪府,8817,8865,8839,8833,8823
兵庫県,5591,5588,5535,5520,5503
奈良県,1421,1401,1364,1356,1348
和歌山県,1036,1002,964,954,945
鳥取県,607,589,573,570,565
島根県,742,717,694,690,685
岡山県,1957,1945,1922,1915,1907
広島県,2877,2861,2844,2837,2829
山口県,1493,1451,1405,1394,1383
徳島県,810,785,756,750,743
香川県,1012,996,976,972,967
愛媛県,1468,1431,1385,1375,1364
高知県,796,764,728,721,714
福岡県,5050,5072,5102,5104,5107
佐賀県,866,850,833,828,824
長崎県,1479,1427,1377,1367,1354
熊本県,1842,1817,1786,1774,1765
大分県,1210,1197,1166,1160,1152
宮崎県,1153,1135,1104,1096,1089
鹿児島県,1753,1706,1648,1637,1626
沖縄県,1362,1393,1434,1439,1443
